Label_Order	original_numerical_label	Hemisphere	Approximate_Region	approx_MNI_coords	Num_voxels_in_ROI
0	3	L	caudate	"[-9, 14, 15]"	800
1	4	L	thalamus	"[-9, -23, 11]"	1051
2	5	L	caudate	"[-12, 12, 11]"	333
3	6	L	putamen	"[-26, -6, 12]"	93
4	8	L	brain_stem	"[-5, -35, -44]"	589
5	9	L	hippocampus	"[-14, -40, 1]"	431
6	10	L	amygdala	"[-24, -4, -16]"	84
7	11	L	striatum	"[-7, 15, -3]"	5
8	12	L	cerebellum	"[-20, -60, -21]"	4147
9	101	L	frontal	"[-40, 52, 10]"	2554
10	102	L	insula	"[-37, 4, 4]"	975
11	103	L	frontal	"[-25, 23, 48]"	1405
12	104	L	frontal	"[-45, 20, 37]"	1370
13	105	L	inf_frontal	"[-52, 27, 2]"	374
14	106	L	inf_frontal	"[-52, 17, 11]"	439
15	107	L	primary_motor	"[-43, -11, 47]"	1651
16	108	L	temporal	"[-52, 10, -22]"	594
17	109	L	temporal	"[-57, -5, -8]"	150
18	110	L	temporal	"[-60, -30, 2]"	206
19	111	L	temporal	"[-52, -2, -22]"	220
20	112	L	temporal	"[-63, -31, -3]"	451
21	113	L	temporal	"[-60, -50, 3]"	440
22	115	L	temporal	"[-55, -16, -26]"	8
23	116	L	temporal	"[-47, -56, -14]"	251
24	117	L	postcentral	"[-45, -17, 34]"	1267
25	118	L	parietal	"[-42, -38, 53]"	612
26	119	L	parietal	"[-50, -34, 43]"	469
27	120	L	parietal	"[-50, -46, 49]"	591
28	121	L	parietal	"[-42, -62, 53]"	547
29	122	L	parietal	"[-24, -67, 48]"	1981
30	123	L	occipital	"[-38, -83, 6]"	784
31	124	L	occipital	"[-11, -65, 6]"	364
32	125	L	orbitofrontal	"[-6, 48, -13]"	77
33	126	L	supplementary_motor_area	"[-3, -2, 60]"	335
34	127	L	anterior_cingulate	"[-6, 29, -11]"	11
35	128	L	anterior_cingulate	"[-4, 47, -2]"	758
36	129	L	anterior_cingulate	"[-7, 36, 20]"	442
37	130	L	mid_cingulate	"[-6, -29, 43]"	490
38	131	L	precuneus	"[-6, -58, 37]"	1337
39	132	L	cuneus	"[-4, -83, 28]"	199
40	133	L	inf_frontal	"[-35, 20, -19]"	481
41	135	L	fusiform	"[-22, -37, -12]"	125
42	136	L	lingual	"[-13, -60, -4]"	697
43	138	L	fusiform	"[-30, -39, -16]"	107
44	139	L	fusiform	"[-33, -54, -17]"	335
45	140	L	fusiform	"[-33, -65, -16]"	445
46	141	L	insula	"[-43, 15, 1]"	206
47	142	L	temporal	"[-56, -14, 13]"	541
48	143	L	temporal	"[-43, -30, 20]"	340
49	144	L	temporal	"[-55, -4, 0]"	172
50	145	L	temporal	"[-40, -27, 14]"	158
51	146	L	temporal	"[-55, -24, 6]"	351
52	147	L	occipital	"[-14, -66, 16]"	52
53	148	L	occipital	"[-8, -100, 5]"	524
54	150	L	parahippocampus	"[-30, -40, -26]"	6
55	151	L	cerebellum	"[-23, -49, -18]"	24
56	152	L	cerebellum	"[-23, -72, -18]"	35
57	201	R	thalamus	"[2, -25, 17]"	15
58	208	R	brain_stem	"[6, -35, -44]"	841
59	214	R	caudate	"[6, 10, 6]"	876
60	215	R	thalamus	"[7, -18, 6]"	986
61	216	R	caudate	"[13, 15, 6]"	467
62	217	R	putamen	"[30, -17, 4]"	311
63	218	R	pallidus	"[27, -14, -1]"	21
